Code|RUES|"Service des Impôts des Particuliers
(SIP)"|Secteur d'assiette (SA)|Trésorerie|Service des Impôts des Entreprises (SIE)|Pôle enregis-trement (PE)|"Service de Publicité Foncière 
(SPF) "|||||||
0216|ALPES (AVE DES)|TSE|2|0028|TR|TO3|TO1|||||||
0217|ALPHONSE BREMOND (RUE)|B|1|0092|B|TO3|TO1|||||||
0218|ALPHONSE ALLAIS (RPT)|TO|3|0018|TMI|TO3|TO2|||||||
0220|ALPHONSE DAUDET (RUE)|TNO|4|0064|TNO|TO3|TO1|||||||
0224|ALSACE LORRAINE (RUE D') (1 à 45 et 2 à 28)|TC|1|0027|TC|TO3|TO1|||||||
0224|ALSACE LORRAINE (RUE D') (47 à 75 et 30 à la fin)|TC|3|0027|TC|TO3|TO1|||||||
0224|ALSACE LORRAINE (RUE D') (77 à la fin)|TC|3|0027|TC|TO3|TO1|||||||
0226|ALTAMIRA (IMP)|TSE|4|0028|TR|TO3|TO1|||||||
0227|AMADEO MODIGLIANI (IMP)|B|1|0092|B|TO3|TO1|||||||
0228|AMANDIER (RUE DE L')|TSO|1|0029|TMI|TO3|TO2|||||||
0230|AMABLE BENOIT DE ST ANGE (RUE)|B|1|0092|B|TO3|TO1|||||||
0232|AMARANTES (RUE DES)|B|1|0092|B|TO3|TO1|||||||
0234|AMARYLLIS (PLACE DES)|TO|3|0018|TMI|TO3|TO2|||||||
0236|AMAT MASSOT (PLACE)|TN|1|0063|TN|TO3|TO1|||||||
0240|AMBROISE CROIZAT (IMP)|B|1|0092|B|TO3|TO1|||||||
0241|AMBROISE CROIZAT (RUE)|TNO|2|0064|TNO|TO3|TO1|||||||
0244|AMBROISE THOMAS (RUE)|TSE|4|0028|TR|TO3|TO1|||||||
0248|AMELIE (RUE)|TC|3|0027|TC|TO3|TO1|||||||
0249|AMELIA EARHART (ALLEE)|TSE|3|0028|TR|TO3|TO1|||||||
0252|AMIDONNIERS (RUE DES)|TNO|2|0064|TNO|TO3|TO1|||||||
0256|AMIRAL GALACHE (RUE DE L)|TSO|1|0029|TMI|TO3|TO2|||||||
0258|AMMAR BOUTALBA (RUE)|TO|2|0018|TMI|TO3|TO2|||||||
0260|AMOUROUX (CHEM)|B|1|0092|B|TO3|TO1|||||||
0268|AMPERE (IMP)|TR|2|0065|TR|TO3|TO1|||||||
0272|ANATOLE FRANCE (PLACE)|TNO|1|0064|TNO|TO3|TO1|||||||
0276|ANCELY (ALL D')|TO|4|0018|TMI|TO3|TO2|||||||
0284|ANCIEN VELODROME (AVE DE)|TNO|2|0064|TNO|TO3|TO1|||||||
0285|ANDRE CLAROUS (RUE)|TN|3|0063|TN|TO3|TO1|||||||
0286|ANDREE GEANT (IMP)|TO|3|0018|TMI|TO3|TO2|||||||
0287|ANDRE ABBAL (PLACE)|TSO|1|0029|TMI|TO3|TO2|||||||
0288|ANDRE AMAR (RUE)|TR|2|0065|TR|TO3|TO1|||||||
0289|ANDRE ARBUS (CHEM)|TSO|1|0029|TMI|TO3|TO2|||||||
0290|ANDRE BAUGE (RUE)|TSO|1|0029|TMI|TO3|TO2|||||||
0291|ANDRE BRETON (CHEM)|TSO|1|0029|TMI|TO3|TO2|||||||
0292|ANDRE BOUSQUAIROL (AVE)|TSE|2|0028|TR|TO3|TO1|||||||
0293|ANDRE BROUSSIN (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
0294|ANDRE CAMPRA (IMP)|TSO|1|0029|TMI|TO3|TO2|||||||
0295|ANDRE BROUSSIN (IMP)|TO|3|0018|TMI|TO3|TO2|||||||
0296|ANDRE CAVAGNOL (RUE)|TSE|1|0028|TR|TO3|TO1|||||||
0297|ANDRE AMAR (IMP)|TR|2|0065|TR|TO3|TO2|||||||
0298|ANDRE CHAMSON (RUE)|B|1|0092|B|TO3|TO1|||||||
0299|ANDRE CLOU (RUE)|TSO|1|0029|TMI|TO3|TO2|||||||
0300|ANDRE CHENIER (RUE)|B|1|0092|B|TO3|TO1|||||||
0301|ANDRE DASTE (PLACE)|TR|2|0065|TR|TO3|TO1|||||||
0303|ANDRE DASTE (RUE)|TR|2|0065|TR|TO3|TO1|||||||
0304|ANDRE DELIEUX (RUE)|TR|3|0065|TR|TO3|TO1|||||||
0305|ANDRE ETCHEVERLEPO (RUE)|B|1|0092|B|TO3|TO1|||||||
0306|ANDRE FERRAN (IMP)|TO|3|0018|TMI|TO3|TO2|||||||
0307|ANDRE JACOUBET (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
0309|ANDRE MELET (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
0310|ANDRE MARFAING (IMP)|TR|2|0065|TR|TO3|TO1|||||||
